# {"t_start": 1548094951.3010783, "env_id": "guidance-collision-avoidance-single-continuous-action-v0"} 
r,l,t
-9.548233,48,19953.307894
-36.962891,49,19953.349014
-32.394497,43,19953.566966
-28.056011,54,19953.616838
-24.779711,51,19953.804721
-13.066197,50,19953.851761
-17.797119,48,19954.045651
-21.202308,41,19954.085977
-26.483139,39,19954.260939
-27.504961,42,19954.298949
-17.313344,46,19954.483765
-31.132806,45,19954.526776
-22.991155,46,19954.567003
-6.887623,42,19954.729614
-9.416762,39,19954.765509
-32.456326,47,19954.943879
-18.048017,41,19954.98078
-28.917598,50,19955.164596
-19.067624,45,19955.205519
-17.942039,43,19955.39384
-17.463728,45,19955.430851
-21.681197,43,19955.466755
-20.87058,40,19955.646711
-14.962297,45,19955.68999
-14.79519,42,19955.847844
-6.977507,41,19955.888
-14.243169,40,19955.922907
-19.307162,48,19956.105758
-21.934658,42,19956.148643
-12.765855,42,19956.329943
-15.144241,44,19956.369941
-17.062238,41,19956.553605
-3.773869,44,19956.593498
-14.929798,40,19956.632395
-24.08747,51,19956.808973
-28.499655,45,19956.851967
-18.505822,44,19957.03899
-15.759925,39,19957.072897
-17.96664,42,19957.244849
-2.782389,42,19957.281025
-22.959827,39,19957.450812
-18.874563,51,19957.497687
-25.712343,55,19957.685805
-13.13907,40,19957.721689
-26.115826,34,19957.750612
-25.889764,43,19957.940733
-12.160134,53,19957.990756
