obs_rms_mean,obs_rms_std,param_noise_stddev,reference_Q_mean,reference_Q_std,reference_action_mean,reference_action_std,reference_actor_Q_mean,reference_actor_Q_std,reference_perturbed_action_mean,reference_perturbed_action_std,rollout/Q_mean,rollout/actions_mean,rollout/actions_std,rollout/episode_steps,rollout/episodes,rollout/return,rollout/return_history,total/duration,total/episodes,total/epochs,total/steps,total/steps_per_second,train/loss_actor,train/loss_critic,train/param_noise_distance
0.0,0.9999999403953552,0.014751292160020392,-34.094703674316406,4.557610988616943,0.8213759660720825,0.5385648608207703,-33.93360137939453,4.551486015319824,0.7940540313720703,0.5795277953147888,-21.744646072387695,0.37449488043785095,0.7955832481384277,952.2093023255813,43.0,-454.3980407714844,-454.3980407714844,95.77810263633728,43.0,21,42000,438.5135938584109,33.31850814819336,1.2452505826950073,0.1436183750629425
0.0,0.9999999403953552,0.015047793132436803,-34.8869743347168,4.461944103240967,0.9020346403121948,0.3683212995529175,-34.723350524902344,4.456225872039795,0.9066612720489502,0.39037925004959106,-22.252750396728516,0.39159464836120605,0.791618824005127,976.1111111111111,45.0,-466.43719482421875,-466.43719482421875,100.12617349624634,45.0,22,44000,439.4455362028744,33.933109283447266,1.5060712099075317,0.1233820989727974
0.0,0.9999999403953552,0.014460633428115275,-35.943153381347656,4.145432472229004,0.7536207437515259,0.5945044755935669,-35.80201721191406,4.153858184814453,0.7870521545410156,0.5556167960166931,-22.73535919189453,0.4018503725528717,0.7907770872116089,949.8958333333334,48.0,-451.0873107910156,-451.0873107910156,104.64169025421143,48.0,23,46000,439.5953456815332,34.262413024902344,1.6363296508789062,0.1776135265827179
0.0,0.9999999403953552,0.013896384493189945,-35.803070068359375,4.326081275939941,0.39972975850105286,0.8596362471580505,-35.712181091308594,4.316473484039307,0.7870521545410156,0.5556167960166931,-23.075660705566406,0.4200460910797119,0.7845163941383362,949.8958333333334,48.0,-451.0873107910156,-451.0873107910156,109.04284811019897,48.0,24,48000,440.1939313937497,34.74055099487305,1.3144264221191406,0.33960363268852234
0.0,0.9999999403953552,0.013896384493189945,-36.8256721496582,4.451938629150391,0.6389191746711731,0.6865550875663757,-36.75740051269531,4.447522163391113,0.5305541753768921,0.7769632339477539,-23.485942840576172,0.43176430463790894,0.7789979577064514,991.22,50.0,-480.91949462890625,-480.91949462890625,113.54392504692078,50.0,25,50000,440.3582136106185,35.39002227783203,1.6734097003936768,0.1873246282339096
0.0,0.9999999403953552,0.01335415235733134,-37.08774185180664,4.352548122406006,-0.0018330514430999756,0.9542765021324158,-36.842674255371094,4.290493965148926,0.3820855915546417,0.8795198202133179,-23.978364944458008,0.44042810797691345,0.7763094305992126,959.6111111111111,54.0,-469.8265380859375,-469.8265380859375,118.07788681983948,54.0,26,52000,440.38728504127454,35.76472473144531,1.4512367248535156,0.20521655678749084
0.0,0.9999999403953552,0.012833077932624282,-37.66167449951172,4.303847312927246,0.522648274898529,0.8077613711357117,-37.52109909057617,4.311629295349121,0.5620302557945251,0.7728796601295471,-24.398391723632812,0.44817107915878296,0.7740330696105957,942.719298245614,57.0,-458.7272033691406,-458.7272033691406,122.64634227752686,57.0,27,54000,440.29034211071377,36.42326736450195,1.8114739656448364,0.16218574345111847
0.0,0.9999999403953552,0.012833077932624282,-37.60460662841797,4.49550199508667,0.8055809140205383,0.5253759622573853,-37.44881820678711,4.492228031158447,0.5218945145606995,0.793812096118927,-24.828004837036133,0.45576581358909607,0.7715071439743042,890.6451612903226,62.0,-434.4373474121094,-434.4373474121094,127.38777542114258,62.0,28,56000,439.60262132582676,36.949371337890625,1.2260174751281738,0.35063493251800537
0.0,0.9999999403953552,0.012833077932624282,-37.38245391845703,4.340408802032471,0.6714375019073486,0.6765245199203491,-37.24446105957031,4.32875394821167,0.7667407989501953,0.5853230357170105,-25.220935821533203,0.45615440607070923,0.7726466059684753,890.2380952380952,63.0,-430.3179931640625,-430.3179931640625,132.092440366745,63.0,29,58000,439.0864446062715,37.19398498535156,1.876990556716919,0.2371748834848404
0.0,0.9999999403953552,0.01161761804096316,-38.155517578125,4.266186714172363,0.41080957651138306,0.8856185078620911,-38.03632354736328,4.2667365074157715,0.7667407989501953,0.5853230357170105,-25.573232650756836,0.4610082805156708,0.7713749408721924,890.2380952380952,63.0,-430.3179931640625,-430.3179931640625,136.81433868408203,63.0,30,60000,438.55052458021953,37.644874572753906,2.064775228500366,0.32662299275398254
